#Start      End         BW      CD      Delay          
1990-01-01  2015-08-14  ANY     ANY     ERR
2015-08-14  2016-09-09  ANY     1       ERR
2015-08-14  2016-09-09  200|400 0       0.17096239
2015-08-14  2016-09-09  <=100   0       0.84190767
2016-09-09  2017-07-04  ANY     1       ERR
2016-09-09  2017-07-04  200|400 0       1.34217728
2016-09-09  2017-07-04  <=100   0       2.68435456
2017-07-04  2020-05-14  200|400 1       2.01326592
2017-07-04  2020-05-14  200|400 0       1.34217728
2017-07-04  2020-05-14  <=100   1       4.02653184
2017-07-04  2020-05-14  <=100   0       2.68435456
2020-05-14  2050-01-01  ANY     ANY     0.00000000
